"comment","human label","NoHateBrazil label","match","%"
"Ridícula nunca será primeira dama !! E levou um fora da primeira dama dos EUA jkkkkkkkkk","highly offensive","slightly offensive",FALSE,70
"Hum homem com um discurso de ódio, rancor e vingança, não demonstra ser um Presidente de nenhum país. Esse discurso foi de um candidato, mas nunca de um Presidente. Está seguindo a mesma cartilha que maduro usou.","highly offensive","no-offensive",FALSE,
"Cadê as bandeiras do Brasil?! Estamos vendo a ascensão do comunismo no Brasil e de tudo o que vem de pior com ele: corrupção, pobreza, perseguição e censura. Que dia triste. Muitos vão acordar ainda e o arrependimento virá","highly offensive","no-offensive",FALSE,
"Todos, todas, todes, ideologia de gênero, aborto, comunismo, socialismo… Esta culpa não carrego nos ombros!","highly offensive","no-offensive",FALSE,
"Tá pensando q vc será com a Primeira Dama Michelle??? Nunca! Vc é primeira dama do bandido","highly offensive","highly offensive",TRUE,
"A galera indignada nos comentários com um presidente tão ridiculo, e os petistas achando graça. O pior é que vamos nos fuder todos juntos. Dizem que o ""bolsonarista"" é odioso, mas é o único que luta pelos DOIS LADOS junto. Querendo um Brasil melhor, melhora para os dois","highly offensive","no-offensive",FALSE,
"Já tá leiloando a Amazônia Lula? Você não tem vergonha de entregar as riquezas do seu próprio país rapaz?","highly offensive","highly offensive",TRUE,
"Vcs tem muita coisa em comum, sao corruptos e os filhos são umas tranqueiras","highly offensive","highly offensive",TRUE,
"Quadrilha restaurada com sucesso!! Viva o amor a bandidagemm !!","highly offensive","highly offensive",TRUE,
"O judiciário mais vergonhoso do mundo COLOCARAM UM BANDIDO NA PRESIDENCIA DA REPUBLICA BRASIL NAO TEM JEITO","highly offensive","highly offensive",TRUE,
"A corja suja no poder agora pode sorrir.","highly offensive","highly offensive",TRUE,
"O invejoso ali atrás, parece um espírito obsessor","highly offensive","highly offensive",TRUE,
"Esse supremo aí de guardião não tem nada só se for guardião de gente da tua laia, guardião de ladrão","highly offensive","highly offensive",TRUE,
"Vagabund ministra vendida corrupta, quando vc m0rrer o inferno vai ser o lugar de vcs","highly offensive","highly offensive",TRUE,
" idiotice humana... Fazer as mesmas coisas, colocar as mesmas pessoas esperando resultados diferentes. Vcs são loucos, como dizia o filósofo: ""É preferivel o insatisfatorio mas conhecido, e assim repetinos o padrao que não da certo mas traz ""segurança"".","highly offensive","highly offensive",TRUE,
"Impossível ter sido eleito pelo voto , só estão te zoando? Tenha vergonha na cara , essa eleição foi muito fraudada !","highly offensive","highly offensive",TRUE,
"Lula, você é o maior picareta que esse país já viu","highly offensive","no-offensive",FALSE,
"Damares. Bozo.. E sua corja. Cadeia sem ANISTIA","highly offensive","highly offensive",TRUE,
"""Entra no carro, otário. vamos recuperar a américa do sul”","highly offensive","highly offensive",TRUE,
"É isso aí Lula, deixa os bolsoloides falar oque quizer , o dono dos gado kkk tá morre mas não morre , e coisa ruim morre fácil kkkk","highly offensive","highly offensive",TRUE,
"Acho ridículo tudo isso não tem clima pra carnaval depois que seu marido assumiu a presidência nem covid mas a globo mostra 🤣🤣","highly offensive","highly offensive",TRUE,
"Mas é invejosa 😂","highly offensive","highly offensive",TRUE,
"Você toma vergonha na cara , tinha que mandar o povo ficar em casa , ou a COVID acabou?","highly offensive","highly offensive",TRUE,
"Quanto custou a obra no Palácio?? 216mil em hotel de luxo , isso é dá ser o povo de palhaço né ? #foralula","highly offensive","moderately offensive",FALSE,
"A MAMATA VOLTOU, LIBERADO DINHEIRO PARA ARTISTAS RICOS....","highly offensive","moderately offensive",FALSE,
"esquerdopatia e assim mesmo, dificilmente assimila as coisas. Difícil 😂😂😂😂","highly offensive","moderately offensive",FALSE,
"DEPOIS QUE A CANJA MICK JEGUER FOI VER O JOGO DO MENGÃO, NÃO GANHAMOS MAIS NADA! FICA EM CASA OU VAI VER JOGO DO CURINTIA COM O LALAU!","highly offensive","highly offensive",TRUE,
"Chupaaaaaaaa flamenguista de merda!!!","highly offensive","highly offensive",TRUE,
"Para com esse teatro vagabundo","highly offensive","highly offensive",TRUE,
"Quantos respiradores ou quantas vacina a Xuxa doou na pandemia? Que moral ela tem ? Nem uma moral ! Nunca fez nada de útil para nosso Brasil! Só pega bilhões e vaza !!! Mais essa sempre é a tática do PT ! Tirar do pobre coitado e dar para os milionários, acho é pouco para quem votou nessa quadrilha do PT","highly offensive","highly offensive",TRUE,
